,prompt
131,"Pretty clean dining room and clean men's room,   friendly service,   as good as any quick serve restaurant.

###

"
132,"I was not a particular fan of this place. Went on a Friday evening after work. A friend wanted to try it because we always enjoy supporting new, local places.

They do have a very large selections of beer but the process is very confusing. All of the beers on tap are written on a very large chalkboard above the bar. They use several different colors of chalk for each selection making it very hard to read. It may be easier if they pick one color of chalk for each type of beer, that way it is easy to find what you want. Or have #1-5 be one type of beer, #6-10 another and so on. My boyfriend spent so long trying to find a beer on the board because of this. Two of our friends were so overwhelmed with the way the selections were presented they just asked the server to surprise them with a choice. 

The acoustics in the place are terrible. It was so loud inside that it was hard to carry on a conversation at the table. 

Also, no happy hour. This would be a great way to draw in an after work crowd.

###

"
133,"It's pretty awesome here!  I was traveling in Phoenix for work and had to get my raw food fix (I eat a raw diet at home and as much as I can while traveling) and this was excellent!  The portions were large and the price was good.  The same type of food in places like Chicago are much more expensive.  I got the raw taco's for lunch and the blueberry fields salad to-go.  They were both great!  I also had an appetizer but that ended up being too much food so I packed it, too.  The location is actually fairly close to the airport (10 min drive) and so it will be my preferred place to go when I'm in Phoenix.

###

"
134,"I tried a few different kinds of pizza and they were all okay.  A few people had told me that they made ""incredible"" pizzas, but I didn't really think so...I'd say they were pretty good pizzas.  What I liked were the fresh tasting vegetables which topped some of the pizzas.  The cheese was a bit disappointing, especially since I don't think you can really go wrong with cheese...it just lacked flavor.

All in all, I probably wouldn't go back...it just really wasn't all that impressive.

###

"
135,"On a Friday night restaurant was busy, but the service was top drawer. Food was very good and we will be back. Prices reasonable.

###

"
136,"I went in to check out the new drop of denim that the boys at The Phoenicia Association got in and left with a new pair of Naked and Famous Raw Selvedge Denim, Weird Guy cut; and a shirt by Wrath Arcane with the sickest little pocket that drops from your breast to your waist (perfect for my lighter and cigs) with a little zipper at the bottom. Spent a nice chunk of dough but nothing crazy for such a nice combo I can wear to dinner with the parents or to Old Town/Downtown on a Saturday night.

###

"
137,"I love breweries and I love Four Peaks. One of e best breweries in Az. We came here on a Friday night but had no trouble getting a table. This place is huge and packed but still room to move around. We ordered the Hopshot IPA which is a great beer!  I've been here a few time and always had a good experience. I can't wait till the pumpkin porter coming Oct 1st!!!

###

"
138,"""trendy, loud-music, ok-sushi!"" - 2/5

When we lived right across the street from the Sushi Brokers, J and I used to go there at least once a month for its happy hour. We probably had been there at least 8 times with friends and family. I have to say that the quality was good for the start but went downhill since then. The price was right if you go during the happy hour. Other time, kinda expensive with the quality and service. It was a seen-to-be-seen place with ok-quality sushi.

###

"
139,"My wife and I finally tried CPH and were greatly surprised by everything.  The food, as expected, was superior along with the professionalism of the staff.  The ambiance too was well set as the place could hold large parties very comfortably.  
We began the nigth with a bottle of wine, the original chopped salad alons with the rock shrimp.  All were exceptional!  As out main courses, my wife orded the sea scallops and I ordered the short ribs.  (Peter of Cowboy Ciao's must miss this guy.)  Both dinners were cooked to perfection and the staff never left alone.  For dessert, we had coffee and the evening's special, the donut holes with three dipping sauces.  All were fantastic.  The wife and I don't usually rate places with five stars, but this place actually gets how food and service are meant to be as one.  Can't wait until we head back.

###

"
140,"Great decor. Great food and very good service. You have to try the pork belly pastrami. To die for! Their version of the Manhattan was very good. As for the main courses you can't go wrong with the scallops or the smoked duck. For dessert go with the black & tan pudding. Oh soooo good. Highly recommend this place.

###

"
141,"I enjoy some burros because it's a good cross between fast food and sit down Mexican food.  The taste is always fresh, and good - the service is fast and friendly, even with a packed house.  It satisfies my Mexican fix and does not leave me regretting life afterwords .... (like Filbertos does)  I have only had this location, but have gone back numerous times and will continue to hit this place up and work my way through the menu ... I had the beef taco and been enchilada today ... see pictures ... you will want.

###

"
142,"I enjoy ""the BOP"" as my friend calls it on the same level that I enjoy pizza.  It's good, but it's not my desert island bar.  I go here to meet up with friends.  I've never been there on my own because let's face it.  I'm not likely to be caught dead trolling Scottsdale (even non-Scottsdale Scottsdale) by my lonesome.  The atmosphere is cozy and inviting.  Which kinda turns me off. I like my bars a bit seedier.  But if that's your thing then I'm cool with it.  I hear the food is pretty good for English fare, but hey who wants to waste time eating when you could be drinking?

###

"
143,"Chloe's Corner, opened last week in the CityScape, Downtown.

The interior is modern, spacious and very comfortable. The design is not only admirable, but also very broad. Inside the restaurant there are various types of seating. Tables, counters even plush chairs to chill and kick it with a glass of beer or wine among friends. There is an outside patio too.

The first thing you notice during breakfast is a fifty cent cup of coffee. This is a bold brew in a paper cup and plastic top. Excellent coffee. For my morning meal I order Chloe's favorite, a six dollar 2 scrambled eggs, 2 slices of bacon, toast, wedge of fruit, plate. The swirled marbled rye bread crafted at John Anthoney's Italian Bread Company was perfect. Potatoes sauteed with fresh chili peppers were tip top. Bacon was thick and so good.

This is one of the areas newest restaurants, and even has a few groceries. Fresh ready to go pre-made lunches, fruit, wine, beer and soft drinks. I would love to recommend at least one bottle water that would come in a paper carton instead of plastic. I took home a bottle of Le Village, Sparkling French Limonade, tasty.

Also a big thanks to Malalay, a super svelte, very friendly gal that not only poured the coffee and brought the food, but laughed with me too. And ^5's to my cook.

Total bill today was $10.33. I will visit again. Happy Hour next time, to check out the beer garden.

###

"
144,"The parking situation is ridiculous, seriously. If you can, walk/bike/bus. It's not worth the energy/effort otherwise.

Another downside? If you don't make 6 figures, dont' plan on buying anything here. Seriously. Nothing lends itself to everyday people. Except for m                   aybe Borders (outside of food options).

My most recent venture there was on a Fri afternoon and it was PACKED and we literally could not eat anywhere without a decent wait and we were starving... so we were stuck.

The bonus is the MoJo, Borders & Paradise there. But nothing else lends itself to my medicore income.

###

"
145,"I've been here so many times, I can't believe I haven't reviewed Black Bear yet! This is me and my friend's ""go-to"" breakfast place. Ginormous portions, and for a decent price. A little slow on the service, but if you're not in a hurry it's no big deal. Basically down home cooking. You see diner and that is exactly what you get. Good eats!

###

"
146,"Yum!  even though it is incredibly heavy and bad for you- YUM.  we got the beef and hominy stew with fry bread and the ultimate taco.  let's start with the stew- though it was just beef and hominy, the broth was so tasty and delicious.  didn't even need the fry bread on the side.  the ultimate taco was pretty awesome- we got the red beef chili and then it had refried beans, cheese, sour cream, and lettuce.  it definitely wasn't gourmet but it was so delicious and so cheap!  gluttonous, but worth it.  we wanted to get a dessert fry bread, but we were just way too full to even go there.

###

"
147,"I'm glad I bought my tickets back in August when the event was first posted.  I'm not sure the organizers knew what an amazing turn out they would have but the event was sold out so tickets were not available at the door.  We arrived at 11:15 (doors opened at 11) and while standing in line to get in there was a staff person checking to make sure we all had tickets and letting people know that if they did not, the event was sold out. 

Once inside it was a sea of cupcakes!  Tiny cupcakes that were delicious!  I didn't taste one that I didn't like.  Liberty Market was my fave I think.  Espresso Carmel and Red Velvet!  YUM!!!  Cruelty Free Cakes makes delicious vegan cupcakes too!  I also liked the ones from Cry Baby Ranch. I'm going to have to find them again at the 20th street Farmers Market and Old Town Scottsdale Farmers Market.  And everyone was so nice!  

$10 got you all the cupcakes you could eat and water AND milk!!  And it was for two very worthy causes.  Singleton Moms and Safe Haven For Animals.  There were also raffles, a cupcake eating contest and cupcake decorating for the kids.  So many festivals these days charge you to get in and then, once inside, charge for everything else.  People can't afford that these days so it was refreshing to go to an event and not be nickel and dimed for everything.  I appreciate that.  And best of all my daughter had a great time!  There were lots of people so it was a little overwhelming for her but she loved it.  Both of us are just coming down from our sugar high.  

It was great to see Gabi and Lindsey manning the Yelp booth and our very own Thomas S. helping with emcee duties!  

Will I be back next year?  You bet!!  And you should come too....just make sure you get your tickets early!

###

"
148,"I don't know what I would do if this store ever closed.  It's right near our home, has an excellent selection of both wine, meats, and produce.  Note that wine is mentioned first... I can't help it!  The service is always really good too.  Everyone who works here seems like they really love their job.  The only issue I have ever had was not being able to get basil a couple of times.  I got over it.  :D

###

"
149,"FOOD: I tried the T-Rex (meat lovers pizza), and it was scrumptious. The Thai Peanut Sauce Pizza was a little weird, yet still tasty in its own way, and I could only handle one slice before growing tired of peanut sauce.  The Buffalo Chicken Wing Pizza was also pretty good. The highlight of the menu was the beer. The Elsie's Irish Cream, a milk stout, was one of the best stouts I've had (better than the Left Hand Stout). It had a strong coffee flavor but in a good way (I don't drink coffee). The Orange Blossom (mandarin orange hefeweizen) was the best Hefeweizen I've ever had, and I generally don't like Hefeweizens. The orange flavor definitely made that drink more than tolerable. I tried several other beers from Papago's own brewery, and the rest seemed  good. They have dozens of bottled beers in the fridges along the walls. But I never got a chance to try any of them. 

PRICE: Around $5 per beer on tap. Personal pizzas were $9 and large pizzas that could feed 2-3 people were $18. Appetizers were around $5. 

ATMOSPHERE: Pretty neat place. Funny statues, tvs, darts and all wooden furniture. Drawbacks are very small tables, uncomfortable chairs, odd layout, and almost too loud at times. 

SERVICE: The place seemed a little understaffed at times. We would be helped my a couple employees throughout the night as one would have to run behind the bar to make drinks or clean. All the servers were very nice and patient, but seemed to be a little overwhelmed and, thus, forgot to bring me a drink I ordered. 

SKINNY: Papago Brewing Company Inc has its pros and cons, but overall its a good place. I would definitely go there for the beer, while the pizza is good but nothing to rant about. Some may disagree with me, but I still prefer Tempe's own Four Peaks. I feel Four Peaks' food is better, better seating, and the beers are just as good as Papago's flavors. Don't let this comparison discourage you! Papago's is still a good place to drink and eat.

###

"
150,"Had an opportunity to take our Canadian guests to Aiello's for supper on the weekend.  It was a a moderate drive but we were not disappointed.  We were rewarded with pleasant surroundings, attentive service and good food.  The complementary hot pepper starter was unusual and tasty when coupled with the fresh bread.  The Mushroom Ravioli Special was especially enjoyed by my spouse and the other entrees brought favorable reviews from our guests.  All in all an enjoyable dining experience.

###

"
151,"Thank God that The Vig wasn't open when I lived just down the street!  I would've lived there!  I was back in town in the fall and after brunch across the street at Dick's we needed MORE post-brunch champers.  Over to The Vig we went.  

How darn cute!  When I lived in Phoenix, this was a BofA training center and my standard ATM spot.  I like it better as The Vig.  We enjoyed many, many of the $5 mimosas with your choice of fresh juices (orange, grapefruit, strawberry or watermelon).  Yummy!  We stayed so long and drank so many mimosas that we had to order nachos.  They were really tasty.

Sitting out on the patio in late October in short sleeves with friends and champagne was delightful for this Chicagoan.

###

"
152,"Played today, course in decent shape for the money.  Would be nice if they would educate groundskeepers on not running mower up to you when trying to play.  Also would be nice if beverage service would continue after 4 oclock.  Course was packed play was slow and no beverage service.  Called in but pro shop phones shut off at 4 30 .  No ranger on course either to keep groups moving ended up not finishing eighteen,teed off at 12 30.

###

"
153,"Ok, so we've been here  a total of two times... the first was a pretty good experience... not memorable, but ok. Then we went again, last night for Mothers Day. My Dad wanted the Trout so bad, so us Mothers gave in. The only positive thing to say about them is how nice they were, we called to see if we could get in at for dinner at 8:30pm, (they closed at 9pm) they said not a problem. I was kinda impressed cuz we've called other restaraunts and they have turned us down in the same senario.... when we sat down, we ordered right away, it took awhile for us to get our food, i finally had to flag our waitress down and ask her to bring whatever was ready whenever it was ready. My salad was probably the best thing I had that night next to the water. Come on tho, how hard is it to mess up salad and a water! My Dad had the trout, he finished it but said it wasnt the best, my Mom had the Chicken Parmesean. She picked around the stuff she didn't like. I ordered a coconut shrimp apetizer, it arrived cold. The bill for two adult entrees and one appetizer a small ceaser salad and one childs meal was $80....  we still tipped $20, but $100 for one of the worst meals in a long time wasn't worth it. We won't be back at least for awhile.

###

"
154,"great food... HUGE wine list (same as Kashmere)...  whatever you do make sure to get there cob salad thing (stedson chopped salad)... I substituted the salmon for chicken, but it is still out of this world... i know people that have brought in chefs from out-of-town to figure out what is in it so they can bring it home to their city... don't remember much else... but i remember i have never had anything bad since i have been going there.

###

"
155,"i know they're doing their jobs and i can understand that. but we couldn't shake our saleslady. we finally had to say that if she didn't leave us alone, we were going to leave. we absolutely couldn't discuss anything because she was CONSTANTLY THERE! we even said we'll come find you if we need any help. literally any piece we glanced at, touched, or came near, she was on top of us ""oh isn't this a great piece. we can set up financing and lock in the sales price, and if you buy 5k worth today with cash, we'll throw in...etc"". every single item. 
they have nice stuff, no question about that. but i know this game. and it's not fun. it makes shopping miserable. and besides, it's too expensive for us. we got 3 of the same, exact pieces (same model, same sku) at pruitts for less than half we would have paid at Ashleys.

###

"
156,"If I'm rating strictly on getting what I wanted out of the visit, this doctor is fine.  He checked my eyes, did all of the tests and I walked out with my prescription.

Here is why I can't give him a good review (and this is solely based on my personality and preferences while dealing with the service industry- others may think he's wonderful...)

1)  I purposely chose an early morning (7:30 a.m.) appointment so that I would get to work by 9.  My office is less than a mile from his office and I was still running into work at 9:05 a.m.  This is due to the very long-winded soap-box like speech that Dr. Greene gave me.  I am a get-in, get-out type of person who hates small talk and hates self-promotion even more and if I heard him tell me how often he visits the gym or works out one more time, I probably would have gauged my eyes out right there to never need an optometrist again.  I also learned all about his wife, friend's boat...you name it...he told me about it (completely unsolicited).

2)  I am an educated individual who does not need an hour-long explanation- filled with graphical references and cutesy anecdotes- about why I now need progressive lenses.

3)  The fear-inducing sales pitch by the staff and the doctor was a bit much.  I realize that all optometrists and dentists are going this route now- ""buy this test (not covered by insurance) and be free from worry that you'll instantly go blind""; however, if I want something, I'll ask for it...just like any other retailer.  

Like I said...I got what I needed, a solid eye exam and prescription.  However, I purposely did not buy glasses there due to the doctor's cheesy personality and the ""hard-sell"" environment.  Again, there are obviously (based on the other posters) people who are attracted to this type of personality...I am not one of them.  

Hence, why I do most of my shopping online.

###

"
157,"Steak, yes, but 2 other words first come to mind when reminiscing about Modern Steak: Retail Therapy.

No, I'm not talking about the fact that Modern Steak is conveniently (albeit awkwardly) located in Scottsdale's Fashion Square. Instead, I think back fondly on a delightful little cocktail -- Belvedere, Grand Marnier, strawberry, basil and lemon juice, served chilled in a martini glass (as expected), but also with a little carafe of extr drinky-drink (unexpected), complete with a suspended ice-ball to keep your drink cold while you sip -- without watering it down. GENIUS. 

Ok, ok, so you're wondering: why the 3 stars? Well, genius cocktails only get you so far. I like to think that I've sampled a fair number of steaks in my day, from frou-frou to straight-from-farm fresh, and I gotta say that the whole steak experience at Modern Steak was about a 3 -- not bad, but not amazing. Just pretty...average. And for $46, I'm not %100 convinced it was worth it. Let me elaborate:

 - 12 oz. filet: I ordered it three of their five sauces -- the Steak Sauce (which cost extra...bummer) and the House-Made Ketchup. Now, one of the sauces that I simply a-dore with a nice steak is a Peppercorn sauce...so I was a little bummed when they didn't have one. So after getting a recommendation for the Steak Sauce, I went with it, and it was...well, kind of a let down. I didn't love either sauce, truth be told. Granted, I haven't tried the other three, so I guess I'll have to go back and check them out, but all in all, my steak experience was lessened by these sauces, rather than heightened. Boo.

 - Sides: we ordered the Roasted Brussel Sprouts and Yukon Gold Potato Puree. The sprouts were...meh, but I'm willing to admit that I've been spoiled by the best brussel sprouts of all time at a little place called Larchmont Grill in Los Feliz, CA. They are fantastic. But even so, I'm not convinced these were really that great...I felt they were a definite let down. As for the potatoes, they were literally SWIMMING in butter, which made them very difficult to eat...and to top it all off, both sides were pretty small, even for two people. 

All in all, I felt the level at which the meal was prepared was a bit sub-par considering the prices and what I can imagine they were going for...there are a lot of restaurants that do what they do, and do it a lot better, so if they want to compete, they're going to need to up their game. UP it. 

Combined with the fact that we were sitting awkwardly on the patio, which was really just sort of jutting out into the mall, I can't justify more than 3 stars. However, would I try it again? Absolutley. Get the steak? Maybe not. But I think that, for a relatively new restaurant, they're well on their way.

###

"
158,"Very dated but clean. Fine for a one night stop on road trip. Free coffee in morning & cookies at night. Bathroom tiny!

###

"
159,"When I first stepped into Smeeks, my entire face lit up, I was figuratively (and quite literally) ""a kid in a candy store."" 

It's is a true one of a kind store, it's so entertaining to just walk around in. The decor is fun, the inventory is even more fun, and the photo booth is by far the most fun!

The walls are full of great novelty items, such as the Smoking Baby (that actually smokes!), Yodeling Pickle (that actually yodels!), and Fake Cigarettes that are surprisingly realistic! Plus, Smeeks has a lot of really cool, and delicious candy. My personal favorite was the Fat Pig organic chocolate bar (with Puntini coming in a close second). 

Smeeks is most definitely my new favorite store in CenPho!

###

"
160,"We had a pretty darn good time.

Decided to take my two nieces to the festival.  Our total cost for 3 of us w/ 2 bracelets before food and extras was $64 - and the girls got on almost every ride, even the big, scary ones!  We went on a Friday at 4ish and the crowd was perfect and relaxed.. absolutely no lines.  Come 6pm, though, that all changed.  The lines got big and it started to not matter to get our bracelets worth of rides for the wait in line (plus the cold night air!).  Also, come 6pm, it just got plain ridiculous with all these little high school kids wearing skimpy clothes and making out and talking bad (where are these kid's parents!?!.. who raised these kids!?!).. it got annoying real quick.

The shows:
- Ostrich Race at 6pm was good - kinda funny, but not that entertaining
- Monkey Show at 9pm was AWESOME - I saw this show last year when we went with the in-laws and I *still* laughed my butt off (easily amused maybe?)
- Petting Zoo - LOVE this.. they had a lot of baby goats (my fave!) and the animals were never menacing and actually very docile.
- In the past I saw the trapeze show and it was entertaining, though the motorcycles in the metal sphere was quite impressive and very entertaining

Overall, the price was decent for the entertainment and the rides the gals got to enjoy; the food was typical fair food (FYI, DO shop around.. prices change across similar products by 2-3$ sometimes, so feel free to shop around for water bottles and other food staples); the staff running the rides were decent people (not creepy, which can be the status quo); the ambiance is good (not OVERLY ghetto) but caution that after 7pm, it gets more crowded with high school kids.. so more lines and more stupid conversations you get to listen to.. yay!

###

"
161,"Best Steak Ever. That is all.  

Everything on the menu is amazing. Go now.

###

"
162,"in honor of the impending superbowl XLV, i wanted to write my majerles review. 

this year though, instead of hitting up a sports bar for the biggest day in football, i'll be going to a party. a real rager. if i wasn't though, i would definitely be pressed up against majerles front door bright and early superbowl morning. it's a great sports bar.

the weirdest thing about majerles is their name. someone finally told me it wasn't pronounced ""mah jer lees"" like i had thought.... it's pronounced ""mar lees"". so let me get that out first.

i'm a big sports nut.... well, let me rephrase that. i'm a big sports nut when it involves REAL sports. i won't make fun of anyone, but if it's not football, baseball, basketball or hockey i don't wanna hear about it. unless of course we're talking about extreme sports like surfing, skateboarding, etc. 

being a fan of sports makes me a fan of sports bars. there are only 3 main things i need in order for a sports bar to be great in my opinion. let me lay them out for you:

a good selection of beers, happy hour specials and bar snacks--- yes, majerles has this in spades. large selection of beers and any sports bar that has perrier jouet, vueve clicquot and dom champagnes must be praised.(mostly because i think this is absolutely hilarious. WHO orders pricey champers at a sports bar? haha!) also, put me down as a fan of their reuben reuben and tenderloin sliders. yum.

the service--- there's nothing worse than sidling up to a bar, excited to watch your team kick some ass and ordering a drink from a bartender that seems bored and unhappy. every bartender i've come in contact with at majerles truly loved being at work (or they at least acted like it). bartenders attitudes really carry a lot more weight then they realize. happy bartender =  happy bar patrons

the strategic placement of large TV sets for comfortable viewing pleasure--- yep. they designed this with real sports fans in mind. no matter where i sit, i can see a multitude of TV's with little blocking my view. 

so they have it all, and i likey. go here if you're looking for a good bar to watch the superbowl... or any sporting event for that matter. 

oh, and GO PACK GO!!!

###

"
163,"The food in this place is indescribably awesome! Granted, the place could be nicer, but if you're in the mood for great food without the frills of a great looking place: this is it. The service is fast, friendly, and the prices are great- especially knowing that their portions are typically huge. I can't finish my plate most of the time, so I always end up taking leftovers home. 
I love their Jade Red Chicken, as well as their emerald chicken. Their black beans are to die! Order a combo plate, if this is your first time here. You'll get a good mix of everything and you'll leave without regrets!

###

"
164,"Ate here the other day with a friend for lunch, it was my first time there.
I had the Tom Kha Gai soup, my friend had the Thai fried rice with tofu, each was ""Thai hot.""  We shared. Scrumptious! The fried rice dish was large. We also shared some mini eggrolls. Mini.
I think my soup could've been more dense with lemon grass and cilantro, but it was yummy anyway. I guess it's cuz I'm a sucker for this dish. I think it's much better at Mailee's in Scottsdale but you pay 5 bucks more.

The place is spartan, not fancy, has some damage, looks like what you would expect by looking at the outside. I'm not picky as long as the place isn't a complete dump. Thai restaurants for me don't have to be princess palaces.... I've enjoyed Char's for years, and it showed its age but wasn't in a state of disrepair.

They have some beers on hand as well.
The menu has a variety of curries, which I look forward to trying.
I'd like to try this place again, I just don't have much more to say at the moment other than I spied a few dishes on their way to their enjoyers, and they looked appealing.
Convenient location. 
Worth a try, not bad. You know if it was I'd tell you.

Give it a try for weekday lunch, they have a lunch special menu.

###

"
165,"This is by far the best Chicken Fried Steak around!  Not to mention their mashed potatoe's, salad and biscuit!  I've never been able to clean my plate here, which is great since I always have an extra meal!   Of course you can always get the lunch portion which is smaller, but then you don't have the extra goodies for later!  

It's a small down home place, dress comfy and go there to eat up!  The wait staff is always the best and they know their stuff!  

I've had their T-Bone here, and it's good, but really hard to go there and not get what made them famous!  Wonderful food!

Prices for lunch are around $7.00 and dinner around $12.00 - really hard to beat for real down home cooking!

###

"
166,"The only reason I'm not giving 5 is the misguided bus driver. After asking the driver if he dropped off at 'Pecos', not 1 but, 2 times, and he agreed both times, we wound up in Chanlder/Gilbert border NOT on Pecos. My mistake in thinking there was only 1 Pecos stop.  Newbie me had no idea. It was easier when our parents pinned our bus stop destination on our shirt when we were 6!

Stranded, about 8 miles away from my park n'ride, I was advised to call their help number. So, I called Customer Service who transfered me to Wanda, the dispatcher. I've never talked with someone so nice, helpful and compassionate - THIS is how customer service is supposed to be...HP, Dell, are you listening?! 

She not only tried to find me other buses to link and other routes to my stop, but in the end, tracked down a site supervisor Bob, down the road, luckily he was on a run, and took me to where I needed to go. He was so nice and understanding, I didn't feel like a total doornob. 

Tell you what, I can't think of anywhere else where their customer service was actually helpful, and hope these guys at least get a bonus, stipend or something. They went out of their way when they didn't have to. Thank you and great job - wish more people modeled your service-oriented organization!

###

"
167,"Great sushi place!  Ample portions of sashimi.  Unagi is the best I've had.  And don't forget the Tako salad.  The atmosphere is okay.  It's not bad, but not exactly cool.  Of course, if it were 4 miles south (in Old Town Scottsdale), you'd never get a table.

###

"
168,"I've been two Pie-Zanos twice now and I think my wife did the best job of describing the format of this unique dining experience:  Subway for Pizza.  Of course, this is not to imply that Pie-Zanos is staffed by mouth-breathing ""pizza artists"" or stocked with sub-par ingredients and generally filthy.  On the contrary, this ""Subway of Pizza"" is staffed by congenial and hip 20-30 somethings who are eager to please by heaping  tons of fresh and flavorful ingredients  onto your individual personalized pizza. 

Pie-Zanos allows you to pick from wheat or white dough and from up to 8 different sauces.  From there you can add herbs and crust flavoring and then you can pick from 6-8 different cheeses.  Then you select from the widest selection of pizza toppings you'll find anywhere.   The fare is basically affordable as long as you don't go apeshit on toppings (55 cents each after the first).   As a special bonus they have Pepsi products.   

I have also enjoyed the breadshits which are fresh and delightful and pair nicely with the traditional red marinara as well as the tomato-pesto. 

My only complaints with Pie-Zanos and what keeps it from achieving 5 stars is how busy it gets at lunch, limited indoor seating and the fact that they allow children's birthday parties which, when mixed with ubiquitous bad parenting, quickly turns a hip and snazzy pizza joint into a Chuck-E-Cheese's.

###

"
169,"Got a padi and the tech stopped for a while to eat. then i got a new tech to finish my pedi. my total was different than the quoted price. when paying my total was $25 i hanede them a $50 and they cashier tried to keep all the change for a tip. he refused to give me my change until i told him that is not gon to happen. My feet were so dry afterwards. I DO NOT recommend them

###

"
170,"Descent food, of course it's not autentico. Free chips, salsa, & wifi though.

###

"
171,"May I add ""family friendly"" to my past reviews? We love this place because we feel like we are home when we come here. The staff is kind and they always welcome us with open arms. The manager, Kaj, literally treats us like family. We brought our new born baby to Corbin's for her first meal out, and we were thrilled with the level of service we received, as usual. The food is excellent, and the service is divine. The happy hour is awesome! My favorite items are the quesedillas, burgers, feta and hot sauced topped homemade potato chip appetizer, and the excellent selection of beers. Corbins is just an overall  great place!

###

"
172,"While throwing a small get together, we were able to have a back patio with a buffet style table set up with some pretty tasty appetizers.  The chicken sqewers were delicious and smoked salmon was also tasty but something seemed to lack.  At the end of the day it was good and I wouldn't hesitate to go back, but nothing to make me a raving fan.

###

"
173,"AMAZING!  This is the first time I ever got what I ordered!!!!!  140 degree grande peppermint latte!  WOWZA!  YIPPEE!  Though the staff did not seemed thrilled to be there or had any sort of personality-it didn't matter because my drink was perfect:)  FYI-this was the location outside of the B security check-point.

###

"
174,"I had to chime in for JOT-C (yep, that's what I call it) because I know it very well, and it's gotten an unjustified bad rap from other Yelpers so far. I've eaten here for over a decade. I've brought friends, college classmates, relatives, and dates here. I lost my dad 3 years ago and I have fond memories of dining here with him. I distinctly remember spilling a Coke all over myself the first time I brought him here. I also remember coming here on my very last day of law school, with a bunch of classmates from Employment Law. The folks here have seen their share of special occasions in my life. Wouldn't be true if this were truly just a 2 star experience. 

I don't think it's fair to nail a restaurant with a bad review based on only a single visit, in most circumstances. Restaurants are run by humans, who are allowed to have a bad day now and then. I've eaten here a billion times. Occasionally something has annoyed me. Most of the time the service is prompt. And those things are true of every restaurant I've ever frequented more than once. At JOTC, even if it's not prompt, it has not even once been unfriendly. There is an elderly gentleman waiter in particular who I especially like. A non-Indian friend I came here with once asked him, ""So, what part of India are you from?"" The waiter look back puzzled and said in his typically mild and hushed manner, ""Sir, I am from Mexico City."" We LOL'd. 

It's #2 on my list of Indian restaurants in the Valley, which is pretty good. Since Tandoori Times is so close by it almost always wins out on a given night, over the past year or so. But the fact remains that JOTC is solidly #2. 

The food is good, by my Indian standards. Samosas: awesome. Chicken tikka masala: very good. I tried the bhindi masala once and that didn't turn out too well. A unique JOTC feature is that dishes are served in very cute, traditional-looking, brass or copper Indian pots. 

Little details like that lead me to say that the decor and atmosphere here probably beat out Tandoori Times and every other Indian place. Simple but elegant, with old Indian art on the walls and cool room dividers thoughtfully placed throughout. The outdoor seating is very pleasant, with heaters to warm you up during winter. The location only adds to the reason to eat here. It's in a cool space next to the Scottsdale Civic Center, a few yards away from AZ 88. It's a solid place to come with a group to eat, drink, and enjoy some good conversation.

JOTC doesn't blow me away (thus only 4 stars), but it needs to be said that if you live in the Valley it is worth at least one visit if you like Indian food, which you wouldn't be able to tell from the other reviews. Judge for yourself.

###

"
175,"I had a great experience here and was suprised by how charming and clean the spa is inside, given it is right off of busy rural rd!  I had Lana as my manicurist and she gave a GREAT pedicure.  I used a coupon from the ASU Insider's book and got a relaxing, hour long and hot stone pedicure for $18.  I think the normal price is still around $18...maybe $20 for the cheapest one??!!  Lana was super friendly and sweet, and the owner was also very helpful and made me feel comfortable.  I will definitely go back here for a gel mani!!

###

"
176,"Unbelievable ahi. Service was adequate.  Mood and ambiance was good. Background music was nice. Will go again sometime.

###

"
177,"I was in the middle of a dilemma and needed proof of something faxed to me right away and stopped in here and got what i needed within just five minutes and was outta there and back to what i needed to take care of.  The price for two piece of paper for the fax was almost $3, which while is not the cheapest considering you can get it for free at home, but beggars cannot be choosers and was happy to pay it.

###

"
178,"Great prices and service. The delivery process could be improved but for the price and peace of mind with the Costco warranty process you cant go wrong. 

High quality furniture and very low prices.

###

"
179,"Buca Di Beppo is literally, italian restaurant hell. You know how all big box chain restaurants throw junk up on the walls in an attempt to make the space feel vintage? Buca Di Beppo throws junk, and knick knacks and statues and anything else 'italian' they could find in the chinese warehouse where they loaded up these goods. It's a terrible horrible mess and you end up sitting in a yardsale of italian paraphenalia while eating your very bland pasta.


It's embarassing how truly flavorless the food is here. Thin, flavorless alfredo sauce. Thick slabs of lasagna with less taste than what I can get out of the frozen section at Publix. I went with a large group and across the table, bland food.

When they seat your party, they guide you through the kitchen area where the cooks play along and say a welcoming hello. Deep down you know they hate this. Why are we in the kitchen? Sure it's nice, but I'd rather have them concentrating on making the food, and making it good. Of course, the food at Buca Di Beppo seems to be far beyond any point of return to tasting good. It's just dead. Dead food. No life, no flavor, not emotion. I get more flavor from the $.99 Michelina's frozen lunch package.

Far from claiming anything authentic Italian, Buca Di Beppo even pumps out bread with no taste. Eating at Buca is like eating food from an assisted living facility. No salt, no sugar, no butter, no fat, it's all gone along with anything resembling taste. Sure, Buca has huge portions, and the setup is nice for large parties and families - but they might as well just buy the family-size pasta packs from the frozen section and bake it at home, even that would be better, and they wouldn't have to the mandatory gratuity. Say what you will about other italian chains like Macaroni Grill, or Olive Garden - at least their food taste like something.

###

"
